ID1,ID2,EdgeType,Score,Annotation
1,41,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
5,29,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9526
5,607,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0275
13,15,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9538
16,78,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9560
19,55,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9822
22,124,MS1 annotation,5.000,[M+H]+ [M+Na]+ dm/z=21.9826
22,499,MS1 annotation,5.500,[M-H2O+H]+ [M+Na]+ dm/z=39.9928
22,240,MS1 annotation,5.000,[M+Na]+ [M+Na]+ dm/z=0.0021
22,25,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9563
25,124,MS1 annotation,5.000,[M+H]+ [M+NH4]+ dm/z=17.0263
25,499,MS1 annotation,5.500,[M-H2O+H]+ [M+NH4]+ dm/z=35.0365
25,240,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9542
29,607,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9801
32,102,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
32,656,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9566
39,46,MS1 annotation,4.000,[M+Na]+ [M+Na]+ dm/z=0.0001
39,113,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
39,824,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
42,108,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9556
42,185,MS1 annotation,5.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
42,879,MS1 annotation,5.000,[M+Na]+ [M+Na]+ dm/z=0.0011
42,820,MS1 annotation,5.000,[M+Na]+ [M+Na]+ dm/z=0.0015
43,947,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0267
44,49,MS1 annotation,2.500,[M-H2O+H]+ [M+Na]+ dm/z=39.9924
45,97,MS1 annotation,5.000,[M+NH4]+ [M+H]+ dm/z=17.0268
45,6363,MS1 annotation,5.500,[2M+Na]+ [M+H]+ dm/z=397.2331
45,6322,MS1 annotation,5.500,[2M+NH4]+ [M+H]+ dm/z=392.2783
45,518,MS1 annotation,5.000,[M+Na]+ [M+H]+ dm/z=21.9820
46,113,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9560
46,824,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9560
48,72,MS1 annotation,6.000,[M+H]+ [M+H]+ dm/z=0.0006
48,237,MS1 annotation,6.000,[M+Na]+ [M+H]+ dm/z=21.9779
48,226,MS1 annotation,6.000,[M+Na]+ [M+H]+ dm/z=21.9795
48,68,MS1 annotation,6.000,[M+H]+ [M+H]+ dm/z=0.0002
48,117,MS1 annotation,6.000,[M+Na]+ [M+H]+ dm/z=21.9783
49,12854,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0273
50,125,MS1 annotation,6.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
50,63,MS1 annotation,6.000,[M+Na]+ [M+Na]+ dm/z=0.0001
50,1125,MS1 annotation,6.000,[M+NH4]+ [M+Na]+ dm/z=4.9560
50,131,MS1 annotation,6.000,[M+Na]+ [M+Na]+ dm/z=0.0001
50,274,MS1 annotation,6.000,[M+NH4]+ [M+Na]+ dm/z=4.9560
56,73,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9533
63,125,MS1 annotation,6.000,[M+NH4]+ [M+Na]+ dm/z=4.9560
63,1125,MS1 annotation,6.000,[M+NH4]+ [M+Na]+ dm/z=4.9561
63,131,MS1 annotation,6.000,[M+Na]+ [M+Na]+ dm/z=0.0002
63,274,MS1 annotation,6.000,[M+NH4]+ [M+Na]+ dm/z=4.9561
68,72,MS1 annotation,6.000,[M+H]+ [M+H]+ dm/z=0.0007
68,237,MS1 annotation,6.000,[M+Na]+ [M+H]+ dm/z=21.9777
68,226,MS1 annotation,6.000,[M+Na]+ [M+H]+ dm/z=21.9794
68,117,MS1 annotation,6.000,[M+Na]+ [M+H]+ dm/z=21.9782
69,91,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9818
69,1209,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
72,237,MS1 annotation,6.000,[M+Na]+ [M+H]+ dm/z=21.9784
72,226,MS1 annotation,6.000,[M+Na]+ [M+H]+ dm/z=21.9801
72,117,MS1 annotation,6.000,[M+Na]+ [M+H]+ dm/z=21.9789
79,382,MS1 annotation,2.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9951
81,428,MS1 annotation,8.000,[M+H]+ [M+H]+ dm/z=0.0011
81,877,MS1 annotation,8.000,[M+Na]+ [M+H]+ dm/z=21.9782
81,258,MS1 annotation,8.000,[M+Na]+ [M+H]+ dm/z=21.9784
81,8488,MS1 annotation,8.000,[M+Na]+ [M+H]+ dm/z=21.9778
81,2361,MS1 annotation,8.000,[M+Na]+ [M+H]+ dm/z=21.9780
81,460,MS1 annotation,8.000,[M+H]+ [M+H]+ dm/z=0.0010
81,611,MS1 annotation,8.000,[M+H]+ [M+H]+ dm/z=0.0009
91,1209,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
93,94,MS1 annotation,4.000,[M+H]+ [M+H]+ dm/z=0.0007
93,782,MS1 annotation,4.000,[M+H]+ [M+H]+ dm/z=0.0033
93,253,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9784
94,782,MS1 annotation,4.000,[M+H]+ [M+H]+ dm/z=0.0026
94,253,MS1 annotation,4.000,[M+Na]+ [M+H]+ dm/z=21.9777
97,6363,MS1 annotation,5.500,[2M+Na]+ [M+NH4]+ dm/z=380.2063
97,6322,MS1 annotation,5.500,[2M+NH4]+ [M+NH4]+ dm/z=375.2515
97,518,MS1 annotation,5.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
100,109,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9541
100,439,MS1 annotation,3.000,[M+K]+ [M+Na]+ dm/z=15.9729
