"mz"	"mzmin"	"mzmax"	"rt"	"rtmin"	"rtmax"	"npeaks"	"sample"	"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"	"X12"	"X13"	"X14"	"X15"	"X16"	"X17"	"X18"	"X19"	"X20"	"X21"	"X22"	"isotopes"	"adduct"	"pcgroup"
"16"	89.0031440467483	89.0021440700619	89.004339729189	629.700134277344	616.536020996094	668.80517578125	18	17	7068.48666666666	NA	15346.2570000002	18746.6008888888	19339.2213333332	13677.5092857143	12713.2113333332	14582.945142857	12209.3815555556	11867.7175714287	NA	14089.6025000001	14134.2837142859	16875.8253750001	17467.9659999999	NA	15010.4468333333	NA	11179.0260000001	13797.3862	10843.7999999999	NA	""	"[M+NH4]+ 70.9681 [M+H]+ 87.9886"	"115"
"24"	91.5055328610099	91.5044294855684	91.5429719865203	629.605194091797	611.242126464844	668.80517578125	22	19	12128.7862857144	13643.8727142857	12852.4646250001	8593.48140000008	16277.2756249999	13028.301	10778.5152222221	11014.7659999999	9381.89177777778	11539.3161428573	NA	11707.242	13716.0757499999	13824.876	13096.6302857143	NA	12232.386	NA	10262.9413333334	11845.7297777778	9734.33333333325	10940.8241111112	""	""	"115"
"25"	92.9484776839059	92.9475817206252	92.9492089100209	629.583435058594	611.242126464844	668.80517578125	19	19	7971.02842857152	9339.78833333335	8816.20162500005	7891.32699999994	10095.456	8321.62666666667	7724.89687499997	7683.24666666655	6128.44099999993	7122.76071428581	NA	8918.69942857147	8910.81499999996	10104.12	9400.80600000003	NA	9133.64100000001	NA	6889.74000000003	7493.4653333333	5752.89600000001	6304.92114285719	""	""	"115"
"27"	93.9560779219247	93.9553992897962	93.9571177845121	629.583435058594	611.242126464844	668.80517578125	19	19	12173.748	16394.4951	15284.5802222223	15501.9800000001	18015.1701249999	11786.2387500001	12156.7567777778	11477.7799999999	11562.8586666667	11463.1920000001	NA	13693.3455555556	11538.0707499999	16407.924	14160.5262857141	NA	12192.5152500001	NA	11784.621	12781.4857	12654.1232999998	11445.3565714287	""	"[M+Na]+ 70.9681"	"115"
"49"	100.01365946362	99.94750881379	100.03301948484	630.378204345703	611.242126464844	673.251159667969	48	19	9015.38599999999	8936.68333333326	83059.9180000003	92647.7790000008	10176.0236666667	75115.3093333333	11573.6454	7128.4256666666	67850.2170000004	8017.67057142856	NA	78191.0133333336	78166.2655555552	8801.32000000003	90110.7990000003	NA	82235.736	NA	65724.9714000001	76703.4882999998	6436.24771428573	8097.1645714286	""	"[M+H]+ 99.0055"	"115"
"53"	100.51068643292	100.510016824222	100.511752854738	629.583435058594	611.242126464844	668.80517578125	19	19	297703.710666666	342971.489099999	322590.204000001	358143.550800003	388796.789333331	296616.805333333	284411.8383	300865.964999998	267981.7407	280427.215000001	NA	303648.144444445	304463.112777777	361075.988000001	347191.863777778	NA	316552.578600001	NA	270666.7812	302778.642099999	260157.566666664	256770.476400002	"[2][M]2+"	""	"115"
"55"	101.011536346253	101.010759337963	101.012596335797	629.605194091797	611.242126464844	668.80517578125	20	19	36168.0782222221	41277.6500999999	39138.7657777779	42129.9480000004	49083.7653333331	34795.9475000002	33790.1849999997	35869.8234999995	35290.3695000002	31443.8163333335	NA	36363.5677777779	37358.1414999998	43484.8440000001	42882.8125555556	NA	39626.334	NA	31582.853	20457.8189999997	32133.6355555552	33046.2750000002	"[2][M+1]2+"	""	"115"
"60"	101.509521124459	101.508882877221	101.510558619407	628.93115234375	611.242126464844	668.80517578125	19	19	42877.3860000001	49400.4427499999	48370.9957500003	52070.4466666665	58821.5466666664	44402.392	42545.8719	44890.1829999997	40007.7280000002	41790.3622500004	NA	43038.0000000001	43467.2669999998	52735.1299999995	52591.8274999998	NA	48130.929	NA	39900.0006000001	43548.2680999999	38887.674	39104.8676666671	"[2][M+2]2+"	""	"115"
"63"	102.50929228887	102.508490867262	102.510357425414	629.605194091797	611.242126464844	668.80517578125	20	19	11162.2215	13150.2582857142	9971.61550000019	11767.9635000002	14924.0639999999	13043.4186666667	8610.91428571419	18229.7308571428	10178.9253	11463.4657894737	NA	11810.1675000001	12309.2987500001	13085.852	14201.64	NA	12208.1142857143	NA	9630.10912500011	6092.13599999991	9943.68333333325	9727.00300000007	""	""	"115"
"70"	106.015250698439	106.014535425837	106.016210017717	628.799499511719	611.242126464844	668.80517578125	19	19	69638.1986666667	88362.8972222224	75027.356666667	81421.3974000007	86341.2479999996	64367.2062222222	70795.6086	78598.8439999995	64342.8495000004	66425.8720000003	NA	68649.1522222225	68256.4322222219	80051.5040000002	75254.5184444445	NA	72767.97	NA	65889.9256000005	72276.3910999998	60782.7590999993	66409.5470000003	""	"[M+NH4]+ 87.9886"	"115"
